,Mouse FACS astrocytes,Mouse FACS astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse neurons,Mouse neurons,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse microglia,Mouse microglia,Mouse endothelial,Mouse endothelial,Mouse whole brain,Mouse whole brain,Mouse whole brain
1500011H22Rik,10.6,6.9,9.1,10.3,10.2,8.5,21.9,23.3,17.2,23.8,10.5,12.5,8.1,7.8,2.1,3.9,12.4,17.2,16.9,14.6,16.4
1500011K16Rik,5.6,3.9,14.0,10.6,17.2,13.5,0.8,0.8,0.1,0.1,0.1,2.5,4.0,0.1,0.1,2.4,0.1,0.1,1.4,2.8,0.1
1500012F01Rik,8.9,11.2,10.7,9.2,11.0,14.6,58.4,69.3,24.9,24.1,17.5,22.9,23.1,21.6,26.4,19.7,54.6,64.7,19.8,17.7,17.8
1500015A07Rik,1.5,1.2,1.0,0.5,0.1,0.7,6.7,5.4,3.9,5.6,3.1,4.4,4.3,4.6,3.8,2.7,1.4,1.7,6.3,6.3,5.0
1500015O10Rik,0.1,0.1,1.0,0.3,1.1,0.7,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.8,0.7,0.4,1.3
1500016L03Rik,0.1,0.1,0.1,0.1,0.1,0.1,21.5,25.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.3,0.5
1500017E21Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.3
1500031L02Rik,4.6,6.7,5.4,4.2,4.0,5.6,6.8,10.2,7.9,10.6,3.8,5.1,2.5,3.2,1.2,1.0,5.0,5.9,10.3,9.1,10.1
1500032L24Rik,27.6,31.0,45.3,48.1,37.9,51.3,60.1,60.2,68.1,98.2,87.4,130.8,127.6,131.5,57.8,79.8,84.0,100.9,94.2,103.8,87.2
1520402A15Rik,2.1,1.3,1.3,2.1,3.5,2.7,2.1,1.8,2.3,2.8,0.6,1.0,0.9,1.1,0.4,0.5,0.3,0.2,3.7,4.3,4.0
1600002D24Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1600002H07Rik,0.8,0.9,0.6,0.3,0.7,0.9,2.8,3.3,2.2,2.9,1.4,1.6,1.1,1.2,1.4,1.3,1.8,1.5,2.8,2.4,2.8
1600002K03Rik,2.9,2.7,1.6,1.1,2.6,0.8,2.2,1.5,4.9,4.2,4.0,3.5,4.4,2.8,7.1,8.9,1.8,2.1,2.8,2.9,3.4
1600010M07Rik,0.1,0.1,0.1,0.2,0.1,0.5,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.5,2.0,0.1,0.1,0.1,0.1,0.1
1600012F09Rik,7.3,6.7,8.9,6.4,9.1,9.6,2.9,3.6,6.5,4.4,6.9,3.1,2.6,2.1,1.8,1.6,2.4,2.4,4.9,5.7,5.4
1600012H06Rik,7.6,7.3,5.9,2.9,5.4,3.7,9.3,7.1,8.8,8.1,8.5,7.7,8.4,7.5,4.6,4.4,6.3,6.4,8.2,7.4,8.8
1600014C10Rik,0.9,0.6,1.5,1.1,1.7,1.2,4.0,3.4,3.3,3.0,2.5,3.1,1.2,1.2,6.3,9.9,4.8,4.6,2.6,3.0,3.1
1600014C23Rik,0.3,0.1,0.4,0.2,0.1,0.4,0.1,0.1,0.6,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.5,0.2
1600014K23Rik,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1600015I10Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1600016N20Rik,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
